Date,Open,High,Low,Close,Adj Close,Volume
2021-01-28,209.250000,211.000000,205.750000,206.600006,180.824524,22131983
2021-01-29,208.550003,208.800003,202.350006,203.250000,177.892471,23764654
2021-02-01,204.000000,217.949997,201.800003,215.949997,189.008011,57744414
2021-02-02,220.000000,223.500000,217.000000,218.199997,190.977280,48457781
2021-02-03,221.500000,222.000000,215.699997,216.750000,189.708206,53643263
2021-02-04,216.100006,231.399994,216.000000,229.949997,201.261353,105818897
2021-02-05,232.149994,238.850006,227.250000,234.350006,205.112411,125490301
2021-02-08,237.500000,238.050003,231.500000,233.100006,204.018387,41495834
2021-02-09,234.600006,239.199997,228.199997,229.000000,200.429916,70655961
2021-02-10,229.000000,231.100006,223.100006,227.550003,199.160782,47283127
2021-02-11,229.000000,229.300003,224.500000,226.449997,198.198029,43631374
2021-02-12,225.750000,225.750000,215.800003,217.449997,190.320862,110568108
2021-02-15,218.449997,221.000000,217.500000,218.600006,191.327408,31776555
2021-02-16,219.050003,221.800003,217.250000,218.250000,191.021057,29148891
2021-02-17,217.600006,218.399994,216.550003,217.750000,190.583466,19850516
2021-02-18,218.199997,220.600006,217.899994,218.850006,191.546204,24070563
2021-02-19,218.850006,218.899994,214.000000,215.949997,189.008011,28125203
2021-02-22,212.000000,212.000000,206.000000,207.050003,185.513687,51546288
2021-02-23,208.000000,210.550003,207.000000,208.500000,186.812866,26675953
2021-02-24,209.100006,209.800003,206.500000,208.850006,187.126434,13160617
2021-02-25,209.500000,211.199997,208.800003,209.149994,187.395233,25954142
2021-02-26,207.250000,208.000000,203.000000,203.850006,182.646530,43429293
2021-03-01,205.449997,207.750000,204.050003,206.899994,185.379242,16225536
2021-03-02,207.000000,210.800003,206.500000,209.899994,188.067215,25604169
2021-03-03,212.000000,212.000000,208.800003,209.949997,188.112030,20846117
2021-03-04,208.800003,211.300003,207.600006,209.699997,187.888016,24899212
2021-03-05,208.000000,210.000000,207.199997,208.550003,186.857651,17323590
2021-03-08,209.699997,210.800003,207.699997,208.000000,186.364853,22988740
2021-03-09,208.699997,209.750000,204.750000,207.800003,186.185669,22593086
2021-03-10,209.100006,209.199997,205.800003,206.500000,185.020874,19603214
2021-03-12,208.000000,208.000000,203.500000,205.199997,183.856094,30787960
2021-03-15,205.850006,206.000000,201.600006,205.449997,184.080078,41115805
2021-03-16,206.399994,208.899994,204.949997,207.850006,186.230484,48763187
2021-03-17,212.199997,213.899994,208.550003,210.600006,188.694412,78578698
2021-03-18,213.000000,219.100006,211.899994,217.649994,195.011108,91993104
2021-03-19,219.000000,226.149994,215.550003,222.949997,199.759811,134184994
2021-03-22,223.300003,226.399994,221.500000,226.000000,202.492584,46050245
2021-03-23,225.000000,228.100006,221.300003,222.199997,199.087814,41564683
2021-03-24,221.000000,222.800003,215.250000,215.949997,193.487930,27609243
2021-03-25,215.149994,215.949997,209.050003,211.600006,189.590393,40681282
2021-03-26,214.250000,214.449997,210.350006,210.899994,188.963196,26079435
2021-03-30,213.250000,215.000000,210.399994,214.550003,192.233551,27792033
2021-03-31,214.050003,219.300003,212.699997,218.500000,195.772690,36485322
2021-04-01,220.000000,220.600006,217.300003,220.050003,197.161484,29062762
2021-04-05,217.600006,220.000000,210.500000,212.550003,190.441589,31378045
2021-04-06,213.800003,214.949997,210.149994,212.649994,190.531174,25674227
2021-04-07,212.699997,215.199997,212.449997,213.800003,191.561584,15204883
2021-04-08,214.850006,216.100006,212.850006,213.250000,191.068787,14116874
2021-04-09,213.750000,215.949997,212.550003,213.100006,190.934387,16364247
2021-04-12,210.000000,211.000000,205.000000,205.300003,183.945694,34511670
2021-04-13,207.000000,209.699997,206.000000,208.699997,186.992035,20247639
2021-04-15,209.000000,210.449997,206.000000,206.699997,185.200073,17530742
2021-04-16,208.000000,209.250000,206.500000,207.949997,186.320038,13311926
2021-04-19,205.000000,206.100006,203.750000,205.600006,184.214493,15792299
2021-04-20,206.199997,207.000000,202.500000,203.550003,182.377716,21364882
2021-04-22,202.000000,206.300003,200.550003,205.899994,184.483276,23139735
2021-04-23,204.250000,207.000000,204.250000,205.350006,183.990509,19625381
2021-04-26,205.800003,206.750000,204.699997,205.300003,183.945694,19886214
2021-04-27,205.300003,206.949997,205.050003,205.399994,184.035278,11444814
2021-04-28,206.000000,206.500000,205.300003,205.500000,184.124908,12708021
2021-04-29,207.100006,207.550003,204.050003,204.300003,183.049713,13096755
2021-04-30,203.899994,205.699997,202.000000,202.600006,181.526535,16495657
2021-05-03,201.199997,201.850006,200.000000,200.949997,180.048141,20611626
2021-05-04,201.199997,202.350006,199.100006,199.600006,178.838577,18259282
2021-05-05,201.449997,202.000000,199.500000,201.399994,180.451355,13862655
2021-05-06,202.300003,205.949997,202.100006,202.750000,181.660919,14320889
2021-05-07,202.949997,206.449997,202.949997,205.350006,183.990509,19463495
2021-05-10,207.149994,207.449997,205.000000,205.550003,184.169693,16295368
2021-05-11,203.899994,206.500000,203.750000,204.000000,182.780914,13747541
2021-05-12,203.899994,205.250000,202.850006,203.250000,182.108932,16537612
2021-05-14,205.000000,213.199997,204.000000,212.250000,190.172791,61647120
2021-05-17,216.800003,217.000000,211.649994,212.600006,190.486389,38001828
2021-05-18,214.100006,214.600006,209.649994,210.050003,188.201614,30479551
